epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3834.15,1.5911,1.90678,1.25885,0.60026,0.67619,0.63281,0.29304,1.67826,1.77933,1.33186,0.00332947,0.00332947,0.00332947
2,7506.3,1.53077,1.3293,1.19637,0.76396,0.73122,0.76957,0.40069,1.60904,1.31151,1.30115,0.00653088,0.00653088,0.00653088
3,11195.1,1.57642,1.28829,1.21808,0.7358,0.65128,0.70164,0.35317,1.69564,1.29026,1.3412,0.00960029,0.00960029,0.00960029
4,14860.5,1.59582,1.25829,1.23363,0.78228,0.73985,0.76657,0.38138,1.67962,1.201,1.3907,0.009406,0.009406,0.009406
5,20786.3,1.56043,1.18008,1.22121,0.79412,0.72306,0.77725,0.41581,1.66877,1.17628,1.31545,0.009208,0.009208,0.009208
6,24717,1.52733,1.10782,1.20587,0.805,0.74432,0.80781,0.44315,1.59233,1.04603,1.32266,0.00901,0.00901,0.00901
7,28494,1.49451,1.05836,1.1918,0.83549,0.75487,0.81798,0.44835,1.55128,0.99235,1.25909,0.008812,0.008812,0.008812
8,32106.3,1.48329,1.03613,1.18548,0.82864,0.75897,0.8186,0.44783,1.60917,0.96721,1.31632,0.008614,0.008614,0.008614
9,35718.3,1.4699,1.01165,1.17601,0.80319,0.78008,0.82038,0.46171,1.56422,0.97885,1.27248,0.008416,0.008416,0.008416
10,39330.7,1.46097,0.98808,1.16874,0.8702,0.75565,0.84303,0.46666,1.53846,0.94705,1.26355,0.008218,0.008218,0.008218
11,42941.6,1.45048,0.97481,1.16527,0.8346,0.80026,0.8437,0.47157,1.53679,0.9083,1.23926,0.00802,0.00802,0.00802
12,46552.3,1.43366,0.95441,1.15971,0.87181,0.78655,0.84609,0.47294,1.5367,0.87436,1.23641,0.007822,0.007822,0.007822
13,50647.6,1.42429,0.9391,1.15271,0.85235,0.81751,0.86327,0.49276,1.52328,0.84445,1.24071,0.007624,0.007624,0.007624
14,54904.2,1.41447,0.91917,1.15096,0.85632,0.79403,0.84704,0.47775,1.56735,0.87106,1.28964,0.007426,0.007426,0.007426
